Brand_Partner,Offer_Detail,Platform,Redemption_Type
SHEIN,15% Student Discount,Student Beans,online at SHEIN
LOOKFANTASTIC,20% Student Discount,Student Beans,online at LOOKFANTASTIC
Superdrug,10% Student discount,Student Beans,instore at Superdrug
Cult Beauty,20% Student Discount,Student Beans,online at Cult Beauty
LullaBellz,25% off Full Priced Synthetics,Student Beans,online at LullaBellz
e.l.f. Cosmetics,15% Student Discount,Student Beans,online at e.l.f. Cosmetics
Oliver Bonas,10% Student Discount,Student Beans,online at Oliver Bonas
Charlotte Tilbury,15% Student Discount,Student Beans,online at Charlotte Tilbury
Oliver Bonas,10% Student Discount,Student Beans,instore at Oliver Bonas
Wild,15% Student Discount,Student Beans,online at Wild
Revolution Beauty,10% Student Discount,Student Beans,online at Revolution Beauty
allbeauty,10% Student Discount,Student Beans,online at allbeauty
Claire's,15% Student Discount,Student Beans,online at Claire's
LOOKFANTASTIC,Beauty Box Subscription,Student Beans,online at LOOKFANTASTIC
The Body Shop,15% Student Discount,Student Beans,online at The Body Shop
ghd,20% Student Discount,Student Beans,online at ghd
Shark,10% Student Discount,Student Beans,online at Shark
YesStyle,15% Student Discount,Student Beans,online at YesStyle
JSHealth Vitamins,18% Student Discount,Student Beans,online at JSHealth Vitamins
Noted Aromas,15% Student Discount,Student Beans,online at Noted Aromas
Salon Services,25% Student Discount,Student Beans,online at Salon Services
Face the Future,10% Student Discount,Student Beans,online at Face the Future
Beauty Base,10% Student Discount,Student Beans,online at Beauty Base
Clinique,15% Student Discount,Student Beans,online at Clinique
FFS,20% Off Sustainable Shaving Deliveries,Student Beans,online at FFS
NIP+FAB,15% Student Discount,Student Beans,online at NIP+FAB
Rose & Caramel,25% Student Discount,Student Beans,online at Rose & Caramel
BPerfect Cosmetics,20% Student Discount,Student Beans,online at BPerfect Cosmetics
YSL Beauty,15% Off + Free Delivery,Student Beans,online at YSL Beauty
Estee Lauder,10% Student Discount,Student Beans,online at Estee Lauder
Give Me Cosmetics,15% Student Discount,Student Beans,online at Give Me Cosmetics
Glow Hub,15% Student Discount,Student Beans,online at Glow Hub
WAHL,15% Student Discount,Student Beans,online at WAHL
Elizabeth Arden,20% Student Discount,Student Beans,online at Elizabeth Arden
Shark,20% Off Shark Anti Hair Wrap Cordless Pet Vacuum,Student Beans,online at Shark
Braun,15% Student Discount on RRP,Student Beans,online at Braun
Fresh,10% Student Discount,Student Beans,online at Fresh
SKINSIDER,15% Student Discount,Student Beans,online at SKINSIDER
Foreo,15.5% Student Discount,Student Beans,online at Foreo
Clarins,10% Student Discount,Student Beans,online at Clarins
Avon,20% Student Discount,Student Beans,online at Avon
Hair Choice,20% off the Clips and Accessories,Student Beans,online at Hair Choice
Beauty Pie,10% Student Discount,Student Beans,online at Beauty Pie
LOOKFANTASTIC,22% off Laura Mercier Translucent Loose Setting Powder,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off Kérastase Elixir Ultime L'Original Hair Oil 100ml,Student Beans,online at LOOKFANTASTIC
Collection Cosmetics,25% Student Discount,Student Beans,online at Collection Cosmetics
Benefit Cosmetics,10% Student Discount,Student Beans,online at Benefit Cosmetics
Bondi Sands,25% Student Discount,Student Beans,online at Bondi Sands
ICONIC London,10% Student Discount,Student Beans,online at ICONIC London
GlossyBox,1st box for £11 and a free GLOSSYBOX water bottle,Student Beans,online at GlossyBox
LOOKFANTASTIC,22% off La Roche-Posay Effaclar Duo Plus 40ml,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off LANEIGE Lip Sleeping Mask - Berry,Student Beans,online at LOOKFANTASTIC
Kiehl's,10% Student Discount,Student Beans,online at Kiehl's
Sally Beauty,15% Student Discount,Student Beans,online at Sally Beauty
Lottie London,10% off all products,Student Beans,online at Lottie London
Nail Polish Direct,10% Student Discount,Student Beans,online at Nail Polish Direct
Bobbi Brown,15% Student Discount,Student Beans,online at Bobbi Brown
LOOKFANTASTIC,22% off Color Wow Raise the Root Spray,Student Beans,online at LOOKFANTASTIC
New Seasons,15% Student Discount,Student Beans,online at New Seasons
Spectrum One Hair,15% OFF | + 20% OFF Get Glam Clip Ins,Student Beans,online at Spectrum One Hair
Origins,20% Student Discount,Student Beans,online at Origins
VIEVE,10% Student Discount,Student Beans,online at VIEVE
Ulike UK Shop,£110 off from the total price,Student Beans,online at Ulike UK Shop
LOOKFANTASTIC,22% off La Roche-Posay Anthelios Anti-Shine Sun Protection,Student Beans,online at LOOKFANTASTIC
Avant Skincare,£20 off on all full priced products + FREE 10ml gift,Student Beans,online at Avant Skincare
LOOKFANTASTIC,22% off La Roche-Posay Anthelios UVMune 400,Student Beans,online at LOOKFANTASTIC
Starface World,Get 15% Off Your First Order + 5% Off All Future Orders,Student Beans,online at Starface World
Neal & Wolf,20% Student Discount,Student Beans,online at Neal & Wolf
Naturisimo,10% Student Discount,Student Beans,online at Naturisimo
Shiseido,15% Student Discount,Student Beans,online at Shiseido
Saks Hair & Beauty,Up to 20% Student Discount,Student Beans,online at Saks Hair & Beauty
Too Faced,15% Student Discount,Student Beans,online at Too Faced
NUXE,10% Student Discount,Student Beans,online at NUXE
The Body Shop,15% Off Skincare for Students,Student Beans,online at The Body Shop
47 Skin,10% Student Discount,Student Beans,online at 47 Skin
Grow Gorgeous,25% Student Discount,Student Beans,online at Grow Gorgeous
LOOKFANTASTIC,22% off Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment,Student Beans,online at LOOKFANTASTIC
Skinny Tan,15% Student Discount,Student Beans,online at Skinny Tan
Sculpted By Aimee,15% Student Discount,Student Beans,online at Sculpted By Aimee
REN Clean Skincare,15% Student Discount,Student Beans,online at REN Clean Skincare
The Body Shop,15% Off Haircare for Students,Student Beans,online at The Body Shop
Aveda,15% Student Discount,Student Beans,online at Aveda
LOOKFANTASTIC,22% off Weleda Skin Food 75ml - Light,Student Beans,online at LOOKFANTASTIC
Hair Choice,5% off the Human Hair,Student Beans,online at Hair Choice
Glam Touch,10% Student Discount,Student Beans,online at Glam Touch
Nourished,10% Student Discount,Student Beans,online at Nourished
Dr. Jart+,10% Student Discount,Student Beans,online at Dr. Jart+
LOOKFANTASTIC,22% off Elemis Pro-Collagen Cleansing Balm 100g,Student Beans,online at LOOKFANTASTIC
Day Lewis Pharmacy,20% Student Discount,Student Beans,instore at Day Lewis Pharmacy
Bumble and Bumble,15% Student Discount,Student Beans,online at Bumble and Bumble
Umberto Giannini,20% Student Discount,Student Beans,online at Umberto Giannini
LOOKFANTASTIC,Unlimited Express Delivery for 12 months only £9.90,Student Beans,online at LOOKFANTASTIC
LOOKFANTASTIC,22% off ICONIC London Prep-Set-Glow Mini,Student Beans,online at LOOKFANTASTIC
Noughty,10% off products,Student Beans,online at Noughty
My Skin Spa Clinic,£65 Student Discount,Student Beans,online at My Skin Spa Clinic
Venus Beauty Clinic,10% Student Discount,Student Beans,online at Venus Beauty Clinic
Visage Beauty,10% Student Discount,Student Beans,online at Visage Beauty
Faith Laser,10% Student Discount,Student Beans,instore at Faith Laser
NO GUNK,20% Student Discount,Student Beans,online at NO GUNK
Mio Skincare,60% off at Mio Skincare PLUS an extra 15% off,Student Beans,online at Mio Skincare
Molton Brown,10% Student Discount,Student Beans,online at Molton Brown
Pure Spa & Beauty,20% Student Discount,Student Beans,online at Pure Spa & Beauty
Tarte,15% Student Discount,Student Beans,online at Tarte
The Tanning Lounge,20% Student Discount,Student Beans,online at The Tanning Lounge
Anastasia Beverly Hills,15% Student Discount,Student Beans,online at Anastasia Beverly Hills
INGLOT,10% Student Discount,Student Beans,online at INGLOT
111SKIN,13% Student Discount,Student Beans,online at 111SKIN
Magnitone London,20% OFF Everything,Student Beans,online at Magnitone London
TULA,25% Student Discount,Student Beans,online at TULA
St. Moriz,25% Student Discount,Student Beans,online at St. Moriz
UpCircle Beauty,15% Student Discount,Student Beans,online at UpCircle Beauty
Ameliorate,20% Student Discount,Student Beans,online at Ameliorate
Impress,£200 discount for invisible orthodontic treatment,Student Beans,online at Impress
TILT Professional Makeup,10% Student Discount,Student Beans,online at TILT Professional Makeup
ESPA,15% Student Discount,Student Beans,online at ESPA
KH Hair Beeston,15% Student Discount,Student Beans,online at KH Hair Beeston
Alpha-H,10% Student Discount,Student Beans,online at Alpha-H
Bellisimos Hair,20% Student Discount,Student Beans,online at Bellisimos Hair
Aspire Hairdressing & Beauty,25% Student Discount,Student Beans,online at Aspire Hairdressing & Beauty
Glamour Garage,20% Student Discount,Student Beans,online at Glamour Garage
RMUK ,Up to 20% Student Discount,Student Beans,online at RMUK 
Pure Beauty,20% Student Discount,Student Beans,online at Pure Beauty
Illamasqua,20% Student Discount,Student Beans,online at Illamasqua
Gentlemans Fade,20% Student Discount,Student Beans,instore at Gentlemans Fade
The Oud Company,20% Student Discount,Student Beans,online at The Oud Company
SOSUbySJ,15% Student Discount,Student Beans,online at SOSUbySJ
ONE SUMMER SKINCARE,18% Student Discount,Student Beans,online at ONE SUMMER SKINCARE
Soleil Tanning,10% Student Discount,Student Beans,online at Soleil Tanning
Salon Central,10% Student Discount,Student Beans,online at Salon Central
Gym For Your Skin,10% Student Discount,Student Beans,online at Gym For Your Skin
Millies Beauty Salon,10% Student Discount ,Student Beans,online at Millies Beauty Salon
MiiN Cosmetics,10% OFF on the entire website,Student Beans,online at MiiN Cosmetics
MiiN Cosmetics,20% OFF on selected TOP products,Student Beans,online at MiiN Cosmetics
Pearl Laser & Beauty clinic,10% Student Discount,Student Beans,online at Pearl Laser & Beauty clinic
NAAMA,10% Student Discount,Student Beans,online at NAAMA
Wow You Beauty,10% Student Discount,Student Beans,online at Wow You Beauty
NKD Waxing,10% Student Discount,Student Beans,online at NKD Waxing
Amour Beaute',10% Student Discount,Student Beans,online at Amour Beaute'
PORE FAVOR,15% Student Discount,Student Beans,online at PORE FAVOR
Princess Nails & Beauty,10% Student Discount ,Student Beans,online at Princess Nails & Beauty
Esteem Beauty,20% Student Discount,Student Beans,online at Esteem Beauty
Avocado Beauty,10% Student Discount,Student Beans,online at Avocado Beauty
BLEU Beauty & Wellness,20% Student Discount,Student Beans,online at BLEU Beauty & Wellness
Passion Hair & Beauty,20% Student Discount,Student Beans,online at Passion Hair & Beauty
Edinburgh Beauty Salon,10% Student Discount,Student Beans,online at Edinburgh Beauty Salon
Aesthetics Solihull,15% Student Discount,Student Beans,online at Aesthetics Solihull
Sunaura,Up to 40% Student Discount,Student Beans,online at Sunaura
Florasis,Up to 10% Student Discount,Student Beans,online at Florasis
The Body Shop,15% Off Makeup for Students,Student Beans,online at The Body Shop
The Beauty Store,10% Student Discount,Student Beans,online at The Beauty Store
Crabtree & Evelyn,10% Student Discount,Student Beans,online at Crabtree & Evelyn
BOLDKING,25% Student Discount,Student Beans,online at BOLDKING
MiiN Cosmetics,15% OFF for new customers,Student Beans,online at MiiN Cosmetics
Coréelle,10% Student Discount,Student Beans,online at Coréelle
NEWSHA,20% Student Discount,Student Beans,online at NEWSHA
Kracken Bodyart,20% Student Discount,Student Beans,online at Kracken Bodyart
